flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,0,2468673-B2,2468673-B2,0,1,0,1,0,False,True,False,True,-0.1279747039079666,1.5419740676879883,-1.6686146259307861,0.003867744468152523,0.44570693373680115,0.5542930364608765,7.884085789555684e-05
concept_only_correct_full_wrong,0,25023687B2,25023687B2,0,1,0,1,0,False,True,False,True,-1.9398763179779053,0.02697846293449402,-1.9655206203460693,-0.023504013195633888,0.7908211946487427,0.20917882025241852,0.0006956606521271169
concept_only_correct_full_wrong,0,25027723B4,25027723B4,1,0,1,0,1,False,True,False,True,-0.4800691604614258,1.7555274963378906,-2.2369306087493896,0.04279742017388344,0.3407052159309387,0.6592947244644165,0.009779696352779865
visual_only_correct_concept_wrong,0,25014124B2,25014124B2,0,0,1,0,1,True,False,True,False,1.400970220565796,-0.5300419330596924,1.9323458671569824,-0.015204515308141708,0.28495126962661743,0.7150486707687378,0.003908921033143997
visual_only_correct_concept_wrong,0,25015422B,25015422B,0,1,1,0,1,False,False,True,False,-0.34860968589782715,-0.42919421195983887,0.08191847801208496,-0.0173807293176651,0.16957086324691772,0.8304291367530823,0.00028716764063574374
visual_only_correct_concept_wrong,0,25020556B4,25020556B4,1,1,0,1,0,True,False,True,False,0.7174191474914551,-2.016465902328491,2.732551097869873,-0.00010563555406406522,0.744528591632843,0.2554713785648346,0.00011513665958773345
visual_only_correct_concept_wrong,0,25024855B4,25024855B4,1,0,0,1,0,False,False,True,False,-0.01851797103881836,-0.210768461227417,0.19091612100601196,0.05200384184718132,0.17448760569095612,0.8255124092102051,0.019526280462741852
concept_only_wrong_full_correct,0,25014124B2,25014124B2,0,0,1,0,1,True,False,True,False,1.400970220565796,-0.5300419330596924,1.9323458671569824,-0.015204515308141708,0.28495126962661743,0.7150486707687378,0.003908921033143997
concept_only_wrong_full_correct,0,25020556B4,25020556B4,1,1,0,1,0,True,False,True,False,0.7174191474914551,-2.016465902328491,2.732551097869873,-0.00010563555406406522,0.744528591632843,0.2554713785648346,0.00011513665958773345
full_without_visual_correct_full_wrong,0,2468673-B2,2468673-B2,0,1,0,1,0,False,True,False,True,-0.1279747039079666,1.5419740676879883,-1.6686146259307861,0.003867744468152523,0.44570693373680115,0.5542930364608765,7.884085789555684e-05
full_without_visual_correct_full_wrong,0,25023687B2,25023687B2,0,1,0,1,0,False,True,False,True,-1.9398763179779053,0.02697846293449402,-1.9655206203460693,-0.023504013195633888,0.7908211946487427,0.20917882025241852,0.0006956606521271169
full_without_visual_correct_full_wrong,0,25027723B4,25027723B4,1,0,1,0,1,False,True,False,True,-0.4800691604614258,1.7555274963378906,-2.2369306087493896,0.04279742017388344,0.3407052159309387,0.6592947244644165,0.009779696352779865
full_correct_full_without_visual_wrong,0,25014124B2,25014124B2,0,0,1,0,1,True,False,True,False,1.400970220565796,-0.5300419330596924,1.9323458671569824,-0.015204515308141708,0.28495126962661743,0.7150486707687378,0.003908921033143997
full_correct_full_without_visual_wrong,0,25020556B4,25020556B4,1,1,0,1,0,True,False,True,False,0.7174191474914551,-2.016465902328491,2.732551097869873,-0.00010563555406406522,0.744528591632843,0.2554713785648346,0.00011513665958773345
