,train,val,test
0,2460242-B2,2460239-B2,2460399-B2
1,2460591-B2,2460405-B2,2460404-B3
2,2460628-B2,2460602-B,2460949-B3
3,2460641-B2,2460960-B,2461698-B
4,2460643-B,2461700-B2,2462293-B3
5,2460753-B2,2461755-B3,2462478-B2
6,2460770-B2,2461857-B2,2462637-B2
7,2460974-B2,2462598-B,2462830-B4
8,2461002-B2,2462840-B5,2463643-B
9,2461487-B2,2462885-B2,2463647-B2
10,2461671-B2,2463126-B2,2463656-B2
11,2461672-B2,2463351-B4,2464404-B5
12,2461677-B2,2463720-B7,2464443-B
13,2461703-B3,2464879-B2,2464929-B
14,2461718-B3,2465263-B2,2464943-B2
15,2461836-B2,2465568-B2,2465643-B3
16,2461861-B2,2465608-B2,2466159-B2
17,2462123-B2,2465636-B,2466264-B2
18,2462170-B4,2465989-B2,2468321-B2
19,2462290-B2,2466152-B2,2468419-B3
20,2462483-B,2466580-B5,2469019-B2
21,2462614-B3,2466881-B2,2469024-B
22,2462830-B2,2466884-B2,2469029-B2
23,2462920-B3,2466898-B2,2469033-B2
24,2462921-B,2466899-B2,2469047-B2
25,2462987-B2,2466923-B2,2469110-B3
26,2463127-B3,2468698-B2,2469496-B
27,2463135-B,2468720-B2,2469505-B2
28,2463187-B2,2469005-B2,2469963-B2
29,2463370-B2,2469260-B3,2470657-B3
30,2463379-B4,2469693-B,2471072-B2
31,2463404-B2,2469916-B2,2471452-B2
32,2464438-B5,2470270-B2,2471887-B
33,2464548-B,2472316-B7,2473218-B3
34,2464690-B2,2473272-B3,2473266-B
35,2464812-B3,2474124-B2,2473366-B2
36,2464817-B,2474188-B2,2473534-B2
37,2465202-B3,2474631-B3,2474626-B2
38,2465243-B2,2474718-B4,2474704-B2
39,2465339-B2,2474739-B2,2475011-B2
40,2465367-B3,2474901-B,2475022-B
41,2465396-B2,2476250-B2,2475126-B2
42,2465397-B,2476252-B2,2475159-B
43,2465625-B,2476681-B2,2475349-B2
44,2465639-B2,2476834-B3,2476242-B2
45,2465661-B2,2476984-B2,2477039-B
46,2465795-B4,2477058-B2,2477118-B4
47,2465827-B5,2477118-B3,2477299-B2
48,2465843-B2,2477189-B3,2477473-B2
49,2466285-B,2478091-B4,2477668-B3
50,2466581-B1,2482055-B2,2477670-B2
51,2466581-B2,2482461-B2,2481723-B2
52,2466584-B,2482607-B,2482056-B4
53,2466703-B4,2482957-B2,2482952-B2
54,2466718-B,2482964-B2,2482962-B2
55,2466866-B,2482992-B,2482969-B
56,2466891-B2,2483215-B5,2483055-B2
57,2466893-B2,2483215-B6,2483220-B1
58,2468105-B2,2483363-B3,2483768-B4
59,2468325-B,2483862-B2,2483846-B
60,2468417-B2,2484312-B2,2484727-B2
61,2468419-B2,2484771-B3,2484734-B4
62,2468442-B2,2485259-B6,2484734-B5
63,2468450-B2,2485969-B2,2484883-B2
64,2468673-B2,2486100-B,2485275-B2
65,2468796-B3,2486104-B2,2485328-B2
66,2468954-B2,2486845-B2,2485517-B2
67,2469004-B2,2486859-B2,2486197-B2
68,2469007-B2,2488320-B3,2487651-B
69,2469023-B2,2488475-B2,2487664-B2
70,2469023-B4,2488932-B4,2488039-B2
71,2469072-B2,2489137-B4,2488044-B3
72,2469074-B2,25012148B4,2488065-B3
73,2469230-B,25012485B2,2488330-B2
74,2469256-B2,25012628B2,25012153B2
75,2469515-B2,25012915B2,25012170B5
76,2469569-B2,25014124B2,25012919B9
77,2469661-B,25014217B2,25013062B3
78,2469849-B2,25014217B3,25013162B2
79,2469927-B2,25015101B2,25014684B
80,2469965-B2,25015408B3,25015070B2
81,2469969-B2,25015422B,25015495B3
