section,metric,value,note
inputs,selected_slides,8.0,
inputs,correct_slides,6.0,
inputs,incorrect_slides,2.0,
outputs,narrative_rows,8.0,
outputs,failure_case_rows,2.0,
outputs,success_case_rows,6.0,
quality,warning_count,0.0,
failure,suspicious_predicted_concept,1.0,nonadeno_intercellular_bridges_high
failure,suspicious_predicted_concept,1.0,nonadeno_hamartoma_low
failure,suspicious_predicted_concept,1.0,nonadeno_keratinization_high
failure,suspicious_predicted_concept,1.0,nonadeno_fibroinflammatory_low
failure,suspicious_predicted_concept,1.0,nonadeno_dense_eosinophilic_cytoplasm_high
failure,suspicious_predicted_concept,1.0,nonadeno_inflammatory_low
failure,suspicious_predicted_concept,1.0,adeno_papillary_high
failure,suspicious_predicted_concept,1.0,adeno_mucinous
failure,suspicious_predicted_concept,1.0,adeno_atypical_glands_high
failure,suspicious_predicted_concept,1.0,adeno_alveolar_replacement_low
failure,suspicious_predicted_concept,1.0,adeno_micropapillary_high
failure,suspicious_predicted_concept,1.0,adeno_lepidic
graph,high_frequency_low_distinction_edges,0.0,
graph,high_coverage_edge,1.0,low::nonadeno_hamartoma_low
graph,high_coverage_edge,1.0,high::adeno_papillary_high
graph,high_coverage_edge,1.0,low::adeno_mucinous
graph,high_coverage_edge,0.9845360824742267,low::nonadeno_fibroinflammatory_low
outputs,stage16_selected_slide_narratives.csv,1.0,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage16_failure_case_narratives_fold0/stage16_selected_slide_narratives.csv
outputs,stage16_failure_cases.csv,1.0,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage16_failure_case_narratives_fold0/stage16_failure_cases.csv
outputs,stage16_success_cases.csv,1.0,/home/ljh/ViLMIL/ViLa-MIL-main/results_stage9/stage16_failure_case_narratives_fold0/stage16_success_cases.csv
