flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,1,2491560B2,2491560B2,0,1,0,1,0,False,True,False,True,-0.35024118423461914,0.5651237964630127,-0.9134664535522461,0.002491436433047056,0.19703923165798187,0.8029608130455017,0.0002716294548008591
visual_only_correct_concept_wrong,1,25027122B2,25027122B2,0,0,1,0,1,True,False,True,False,0.8145906925201416,-0.9936578273773193,1.8101472854614258,-3.200711216777563e-05,0.16220195591449738,0.8377980589866638,5.456903454614803e-05
visual_only_correct_concept_wrong,1,25026103B2,25026103B2,1,0,0,1,0,False,False,True,False,-0.1702878475189209,-1.3465421199798584,1.1743559837341309,-0.0009473086684010923,0.14494314789772034,0.8550568222999573,9.356263763038442e-05
visual_only_correct_concept_wrong,1,25027181B5,25027181B5,1,0,0,1,0,False,False,True,False,-1.3488895893096924,-2.2272074222564697,0.8764188885688782,-0.0016981563530862331,0.07219447940587997,0.927805483341217,0.00019370357040315866
visual_only_correct_concept_wrong,1,25034245B2,25034245B2,1,0,0,1,0,False,False,True,False,-0.7612600326538086,-0.9163333177566528,0.1531747579574585,-0.00323351938277483,0.0880490317940712,0.911950945854187,0.00023308568052016199
visual_only_correct_concept_wrong,1,25043126B2,25043126B2,1,1,0,1,0,True,False,True,False,0.32458949089050293,-1.2077958583831787,1.5304865837097168,-0.001331317238509655,0.1577671468257904,0.842232882976532,0.00034232254256494343
visual_only_correct_concept_wrong,1,25050888B3,25050888B3,1,0,0,1,0,False,False,True,False,-1.0763161182403564,-2.055680274963379,0.9774656295776367,0.004758367780596018,0.0609649196267128,0.9390350580215454,0.001784664113074541
visual_only_correct_concept_wrong,1,25053425B2,25053425B2,1,0,0,1,0,False,False,True,False,-0.8267900943756104,-1.8413336277008057,1.012644648551941,0.003811740083619952,0.07259080559015274,0.9274091720581055,0.0009472374222241342
concept_only_wrong_full_correct,1,25027122B2,25027122B2,0,0,1,0,1,True,False,True,False,0.8145906925201416,-0.9936578273773193,1.8101472854614258,-3.200711216777563e-05,0.16220195591449738,0.8377980589866638,5.456903454614803e-05
concept_only_wrong_full_correct,1,25043126B2,25043126B2,1,1,0,1,0,True,False,True,False,0.32458949089050293,-1.2077958583831787,1.5304865837097168,-0.001331317238509655,0.1577671468257904,0.842232882976532,0.00034232254256494343
full_without_visual_correct_full_wrong,1,2491560B2,2491560B2,0,1,0,1,0,False,True,False,True,-0.35024118423461914,0.5651237964630127,-0.9134664535522461,0.002491436433047056,0.19703923165798187,0.8029608130455017,0.0002716294548008591
full_correct_full_without_visual_wrong,1,25027122B2,25027122B2,0,0,1,0,1,True,False,True,False,0.8145906925201416,-0.9936578273773193,1.8101472854614258,-3.200711216777563e-05,0.16220195591449738,0.8377980589866638,5.456903454614803e-05
full_correct_full_without_visual_wrong,1,25043126B2,25043126B2,1,1,0,1,0,True,False,True,False,0.32458949089050293,-1.2077958583831787,1.5304865837097168,-0.001331317238509655,0.1577671468257904,0.842232882976532,0.00034232254256494343
