node_id,node_type,scale,class_id,class_name,concept_id,concept_text,conflict_type
class::0,class,both,0.0,Adenocarcinoma,,Adenocarcinoma,
class::1,class,both,1.0,NonAdenocarcinoma,,NonAdenocarcinoma,
high_concept::adeno_papillary_high,high_concept,high,,,adeno_papillary_high,A high magnification histopathology image showing adenocarcinoma cells lining fibrovascular cores.,
high_concept::adeno_atypical_glands_high,high_concept,high,,,adeno_atypical_glands_high,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,
high_concept::adeno_micropapillary_high,high_concept,high,,,adeno_micropapillary_high,A high magnification histopathology image showing small floating clusters of adenocarcinoma cells without fibrovascular cores.,
high_concept::adeno_fused_glands_high,high_concept,high,,,adeno_fused_glands_high,A high magnification histopathology image showing fused back-to-back adenocarcinoma glands with little intervening stroma.,
high_concept::adeno_hobnail_high,high_concept,high,,,adeno_hobnail_high,A high magnification histopathology image showing hobnail-like adenocarcinoma cells lining alveolar spaces.,
high_concept::adeno_prominent_nucleoli_high,high_concept,high,,,adeno_prominent_nucleoli_high,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,
high_concept::adeno_acinar_high,high_concept,high,,,adeno_acinar_high,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,
high_concept::adeno_mucinous_high,high_concept,high,,,adeno_mucinous_high,A high magnification histopathology image showing adenocarcinoma cells with mucin production and mucinous cytoplasm.,
high_concept::adeno_solid_high,high_concept,high,,,adeno_solid_high,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,
high_concept::adeno_lepidic_high,high_concept,high,,,adeno_lepidic_high,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,
high_concept::adeno_columnar_cells_high,high_concept,high,,,adeno_columnar_cells_high,A high magnification histopathology image showing columnar adenocarcinoma cells with enlarged hyperchromatic nuclei and nucleoli.,
high_concept::adeno_intracytoplasmic_mucin_high,high_concept,high,,,adeno_intracytoplasmic_mucin_high,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,
