class_name,scale,prompt_text
Adenocarcinoma,low,"Low magnification shows infiltrative and irregular glandular architecture with stromal desmoplasia."
Adenocarcinoma,low,"Low power view reveals architectural distortion and uneven gland distribution in tumor regions."
Adenocarcinoma,low,"Disorganized gland formation with destructive growth is present at low magnification."
Adenocarcinoma,low,"Low magnification demonstrates crowded atypical glands replacing normal tissue structure."
Adenocarcinoma,low,"Large low power fields show fused glands and loss of normal lobular arrangement."
Adenocarcinoma,low,"Tumor area at low power shows variable gland caliber and irregular branching outlines."
Adenocarcinoma,low,"Low resolution examination indicates infiltrative glandular nests in fibrotic stroma."
Adenocarcinoma,low,"Architectural complexity with cribriform-like areas appears on low magnification."
Adenocarcinoma,low,"Low power image suggests malignant glandular proliferation with stromal remodeling."
Adenocarcinoma,low,"Patch at low magnification displays haphazard gland orientation and invasive pattern."
Adenocarcinoma,low,"Low magnification reveals back-to-back atypical glands and disturbed tissue polarity."
Adenocarcinoma,low,"Low power scene shows extensive glandular irregularity with patchy necrotic background."
Adenocarcinoma,low,"Tumor tissue at low resolution presents heterogeneous gland shapes and invasive fronts."
Adenocarcinoma,low,"Low magnification indicates gland crowding with interruption of normal stromal boundaries."
Adenocarcinoma,low,"Irregular glandular clusters with desmoplastic response are visible at low power."
Adenocarcinoma,low,"Low power pathology pattern demonstrates malignant gland budding and architectural chaos."
Adenocarcinoma,low,"Low magnification reveals uneven tumor gland density and disrupted background structure."
Adenocarcinoma,low,"Invasive glandular components are distributed asymmetrically at low magnification."
Adenocarcinoma,low,"Low resolution morphology shows distorted gland lumens and atypical branching patterns."
Adenocarcinoma,low,"Low power field presents tumor-associated stromal reaction around irregular glands."
Adenocarcinoma,low,"Atypical glandular zones with nonuniform spacing are evident at low magnification."
Adenocarcinoma,low,"Low magnification highlights invasive glandular expansion into surrounding stroma."
Adenocarcinoma,low,"Patch demonstrates abnormal gland topology and poor architectural cohesion at low power."
Adenocarcinoma,low,"Low power view shows confluent atypical glands with reduced normal compartmentalization."
Adenocarcinoma,low,"Glandular disarray and infiltrative edges dominate the low magnification appearance."
Adenocarcinoma,low,"Low resolution section reveals malignant gland pattern with focal cribriform complexity."
Adenocarcinoma,low,"Low magnification supports adenocarcinoma by diffuse architectural distortion."
Adenocarcinoma,low,"Tumor area shows irregular gland spacing and stromal alteration in low power context."
Adenocarcinoma,low,"Low magnification exhibits aggressive gland-forming lesion with tissue destruction."
Adenocarcinoma,low,"Low power morphology is consistent with infiltrative atypical glandular carcinoma."
Adenocarcinoma,high,"High magnification shows enlarged pleomorphic nuclei with prominent nucleoli."
Adenocarcinoma,high,"High power field demonstrates increased nuclear-to-cytoplasmic ratio and marked atypia."
Adenocarcinoma,high,"Tumor cells at high magnification display hyperchromasia and irregular nuclear contours."
Adenocarcinoma,high,"Frequent mitotic figures and nuclear pleomorphism are visible on high power view."
Adenocarcinoma,high,"High magnification reveals atypical glandular epithelium with coarse chromatin."
Adenocarcinoma,high,"Nuclear enlargement with conspicuous nucleoli supports malignant glandular differentiation."
Adenocarcinoma,high,"High power morphology shows cytologic atypia and loss of nuclear uniformity."
Adenocarcinoma,high,"Cells exhibit anisokaryosis and irregular chromatin distribution at high magnification."
Adenocarcinoma,high,"High power patch presents mitotic activity with atypical gland-lining cells."
Adenocarcinoma,high,"High magnification identifies malignant epithelial nuclei with prominent pleomorphism."
Adenocarcinoma,high,"Tumor epithelium demonstrates enlarged nuclei and reduced cytoplasmic volume."
Adenocarcinoma,high,"High power findings include nucleolar prominence and irregular nuclear polarity."
Adenocarcinoma,high,"Adenocarcinoma cytology shows chromatin clumping and nuclear shape variability."
Adenocarcinoma,high,"High magnification reveals atypical mitoses within malignant glandular cells."
Adenocarcinoma,high,"Cellular detail shows severe nuclear atypia and disordered epithelial alignment."
Adenocarcinoma,high,"High power image indicates aggressive cytologic phenotype with pleomorphic nuclei."
Adenocarcinoma,high,"Tumor nuclei appear crowded with hyperchromatic and angulated contours."
Adenocarcinoma,high,"High magnification demonstrates irregular nucleomegaly and disrupted glandular lining."
Adenocarcinoma,high,"Malignant cytologic features include frequent mitoses and high N C ratio."
Adenocarcinoma,high,"High power patch shows atypical epithelial stratification and nuclear overlap."
Adenocarcinoma,high,"Cells show enlarged hyperchromatic nuclei and prominent nucleoli at high resolution."
Adenocarcinoma,high,"High magnification reveals nonuniform chromatin texture and atypical polarity."
Adenocarcinoma,high,"Nuclear pleomorphism and atypical glandular cell crowding are evident."
Adenocarcinoma,high,"High power morphology supports adenocarcinoma through marked cytologic atypia."
Adenocarcinoma,high,"Tumor cells display irregular nuclear membranes and mitotic proliferation."
Adenocarcinoma,high,"High magnification indicates malignant glandular cytology with nucleolar prominence."
Adenocarcinoma,high,"Cytologic details show severe atypia and increased proliferative activity."
Adenocarcinoma,high,"High power field contains pleomorphic nuclei with frequent atypical division."
Adenocarcinoma,high,"Nuclear enlargement and chromatin irregularity dominate the high magnification view."
Adenocarcinoma,high,"High resolution cellular morphology is consistent with adenocarcinoma atypia."
NonAdenocarcinoma,low,"Low magnification preserves relatively regular tissue architecture without invasive gland distortion."
NonAdenocarcinoma,low,"Low power view shows organized glandular arrangement and stable stromal background."
NonAdenocarcinoma,low,"Low magnification demonstrates uniform gland spacing and preserved structural polarity."
NonAdenocarcinoma,low,"Tissue appears architecturally coherent at low power with no destructive growth pattern."
NonAdenocarcinoma,low,"Low resolution patch shows orderly gland contours and minimal stromal reaction."
NonAdenocarcinoma,low,"Low magnification indicates benign-like gland organization with maintained boundaries."
NonAdenocarcinoma,low,"Background structure remains consistent and noninfiltrative on low power examination."
NonAdenocarcinoma,low,"Low power morphology reveals regular compartmentalization without gland crowding."
NonAdenocarcinoma,low,"Low magnification shows balanced gland distribution and intact tissue framework."
NonAdenocarcinoma,low,"Low resolution image lacks obvious invasive glandular expansion."
NonAdenocarcinoma,low,"Low power field demonstrates smooth gland arrangement and preserved architecture."
NonAdenocarcinoma,low,"Patch displays nonaggressive low magnification pattern with uniform glands."
NonAdenocarcinoma,low,"Low magnification suggests controlled gland morphology and stromal stability."
NonAdenocarcinoma,low,"No marked architectural distortion is observed in low power context."
NonAdenocarcinoma,low,"Low power appearance supports nonadenocarcinoma with regular gland topology."
NonAdenocarcinoma,low,"Low magnification reveals consistent gland shape and low structural complexity."
NonAdenocarcinoma,low,"Low resolution morphology remains organized without infiltrative fronts."
NonAdenocarcinoma,low,"Uniform glandular profile and preserved tissue hierarchy are seen at low power."
NonAdenocarcinoma,low,"Low magnification demonstrates mild variation but no destructive gland pattern."
NonAdenocarcinoma,low,"Tissue architecture at low power appears stable and noninvasive."
NonAdenocarcinoma,low,"Low magnification indicates relatively normal gland alignment and spacing."
NonAdenocarcinoma,low,"Low power patch lacks cribriform complexity and malignant architectural disarray."
NonAdenocarcinoma,low,"Low resolution field shows coherent glandular units and clear stromal separation."
NonAdenocarcinoma,low,"Low magnification preserves broad structural regularity across the tissue area."
NonAdenocarcinoma,low,"No obvious gland fusion or aggressive remodeling is present at low power."
NonAdenocarcinoma,low,"Low power morphology favors nonadenocarcinoma due to preserved architecture."
NonAdenocarcinoma,low,"Low magnification exhibits limited gland irregularity with intact boundaries."
NonAdenocarcinoma,low,"Patch appears architecturally restrained and less heterogeneous at low magnification."
NonAdenocarcinoma,low,"Low power tissue pattern shows organized glands and nonreactive stroma."
NonAdenocarcinoma,low,"Low magnification supports a noninfiltrative glandular pattern."
NonAdenocarcinoma,high,"High magnification shows relatively uniform nuclei with mild atypia only."
NonAdenocarcinoma,high,"Cells maintain balanced nuclear-to-cytoplasmic ratio and low mitotic activity."
NonAdenocarcinoma,high,"High power field reveals fine chromatin and inconspicuous nucleoli."
NonAdenocarcinoma,high,"Nuclear contours are relatively regular at high magnification without marked pleomorphism."
NonAdenocarcinoma,high,"High resolution view shows cytologic uniformity and limited proliferative features."
NonAdenocarcinoma,high,"Gland-lining cells display mild nuclear variation and preserved polarity."
NonAdenocarcinoma,high,"High magnification demonstrates sparse mitotic figures and stable cytologic pattern."
NonAdenocarcinoma,high,"Nuclei appear smaller and more homogeneous than malignant adenocarcinoma cells."
NonAdenocarcinoma,high,"High power patch lacks severe hyperchromasia or marked nucleolar enlargement."
NonAdenocarcinoma,high,"Cellular details show modest atypia with maintained glandular lining order."
NonAdenocarcinoma,high,"High magnification indicates low-grade cytologic features and limited pleomorphism."
NonAdenocarcinoma,high,"Fine chromatin and regular nuclear spacing are present on high power."
NonAdenocarcinoma,high,"High resolution morphology suggests nonaggressive epithelial cytology."
NonAdenocarcinoma,high,"Nuclear membranes are smoother with fewer atypical mitotic events."
NonAdenocarcinoma,high,"High power field presents cleaner luminal borders and less cellular crowding."
NonAdenocarcinoma,high,"Cytologic findings include mild nuclear enlargement without severe atypia."
NonAdenocarcinoma,high,"High magnification supports nonadenocarcinoma by cellular uniformity."
NonAdenocarcinoma,high,"Cells show consistent morphology and reduced proliferative signatures."
NonAdenocarcinoma,high,"High power details lack overt malignant nuclear irregularity."
NonAdenocarcinoma,high,"Nuclear pleomorphism is limited and chromatin pattern remains relatively fine."
NonAdenocarcinoma,high,"High magnification reveals low mitotic density and preserved cytologic balance."
NonAdenocarcinoma,high,"Cell nuclei are less crowded with moderate size consistency at high power."
NonAdenocarcinoma,high,"High resolution patch demonstrates restrained atypia and orderly epithelial arrangement."
NonAdenocarcinoma,high,"Cytologic texture appears stable with minimal aggressive features."
NonAdenocarcinoma,high,"High magnification indicates relatively benign-like glandular cell morphology."
NonAdenocarcinoma,high,"Nuclear heterogeneity is mild and proliferative activity remains low."
NonAdenocarcinoma,high,"High power field retains glandular epithelial regularity and less atypical change."
NonAdenocarcinoma,high,"Cells exhibit modest chromatin variation without severe pleomorphic pattern."
NonAdenocarcinoma,high,"High magnification morphology is compatible with nonadenocarcinoma cytology."
NonAdenocarcinoma,high,"High resolution cellular view shows controlled atypia and low malignant potential signs."
