flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,1,2477941-B2,2477941-B2,0,1,0,1,0,False,True,False,True,-0.365627646446228,0.10520195960998535,-0.46600407361984253,0.006709790322929621,0.14797386527061462,0.852026104927063,3.5230204957770184e-05
visual_only_correct_concept_wrong,1,2469969-B2,2469969-B2,0,0,1,0,1,True,False,True,False,0.03181576728820801,-0.43168163299560547,0.46832290291786194,0.00517728878185153,0.00368479429744184,0.9963151812553406,6.747879524482414e-06
visual_only_correct_concept_wrong,1,25025240B,25025240B,0,0,1,0,1,True,False,True,False,0.19147777557373047,-0.7082302570343018,0.9045340418815613,0.008118199184536934,0.036611124873161316,0.9633889198303223,0.001035391353070736
visual_only_correct_concept_wrong,1,25027122B2,25027122B2,0,0,1,0,1,True,False,True,False,1.0175011157989502,-0.4667956829071045,1.4891223907470703,0.005639733746647835,0.14097744226455688,0.8590225577354431,3.0984181648818776e-05
visual_only_correct_concept_wrong,1,2491560B2,2491560B2,0,1,1,0,1,False,False,True,False,-0.6630289554595947,-1.1998300552368164,0.5416264533996582,0.0053357817232608795,0.026090363040566444,0.9739096760749817,0.0001601815747562796
visual_only_correct_concept_wrong,1,25026103B2,25026103B2,1,1,0,1,0,True,False,True,False,0.5082824230194092,-1.2423272132873535,1.745783805847168,-0.005215023644268513,0.3211662173271179,0.6788337826728821,7.959266076795757e-05
visual_only_correct_concept_wrong,1,25027181B5,25027181B5,1,0,0,1,0,False,False,True,False,-1.5083476305007935,-2.4981765747070312,0.9850034117698669,-0.004901433829218149,0.06807690113782883,0.9319230914115906,0.00012167406384833157
visual_only_correct_concept_wrong,1,25043126B2,25043126B2,1,0,0,1,0,False,False,True,False,-2.2839555740356445,-2.894225835800171,0.6054446697235107,-0.004670291673392057,0.00536008458584547,0.9946399331092834,0.00011617124982876703
visual_only_correct_concept_wrong,1,25053425B2,25053425B2,1,0,0,1,0,False,False,True,False,-0.2376173734664917,-1.1458934545516968,0.9034504294395447,-0.005860096774995327,0.05431053787469864,0.9456894993782043,0.00034710511681623757
concept_only_wrong_full_correct,1,2469969-B2,2469969-B2,0,0,1,0,1,True,False,True,False,0.03181576728820801,-0.43168163299560547,0.46832290291786194,0.00517728878185153,0.00368479429744184,0.9963151812553406,6.747879524482414e-06
concept_only_wrong_full_correct,1,25025240B,25025240B,0,0,1,0,1,True,False,True,False,0.19147777557373047,-0.7082302570343018,0.9045340418815613,0.008118199184536934,0.036611124873161316,0.9633889198303223,0.001035391353070736
concept_only_wrong_full_correct,1,25027122B2,25027122B2,0,0,1,0,1,True,False,True,False,1.0175011157989502,-0.4667956829071045,1.4891223907470703,0.005639733746647835,0.14097744226455688,0.8590225577354431,3.0984181648818776e-05
concept_only_wrong_full_correct,1,25026103B2,25026103B2,1,1,0,1,0,True,False,True,False,0.5082824230194092,-1.2423272132873535,1.745783805847168,-0.005215023644268513,0.3211662173271179,0.6788337826728821,7.959266076795757e-05
full_without_visual_correct_full_wrong,1,2477941-B2,2477941-B2,0,1,0,1,0,False,True,False,True,-0.365627646446228,0.10520195960998535,-0.46600407361984253,0.006709790322929621,0.14797386527061462,0.852026104927063,3.5230204957770184e-05
full_correct_full_without_visual_wrong,1,2469969-B2,2469969-B2,0,0,1,0,1,True,False,True,False,0.03181576728820801,-0.43168163299560547,0.46832290291786194,0.00517728878185153,0.00368479429744184,0.9963151812553406,6.747879524482414e-06
full_correct_full_without_visual_wrong,1,25025240B,25025240B,0,0,1,0,1,True,False,True,False,0.19147777557373047,-0.7082302570343018,0.9045340418815613,0.008118199184536934,0.036611124873161316,0.9633889198303223,0.001035391353070736
full_correct_full_without_visual_wrong,1,25027122B2,25027122B2,0,0,1,0,1,True,False,True,False,1.0175011157989502,-0.4667956829071045,1.4891223907470703,0.005639733746647835,0.14097744226455688,0.8590225577354431,3.0984181648818776e-05
full_correct_full_without_visual_wrong,1,25026103B2,25026103B2,1,1,0,1,0,True,False,True,False,0.5082824230194092,-1.2423272132873535,1.745783805847168,-0.005215023644268513,0.3211662173271179,0.6788337826728821,7.959266076795757e-05
