flip_type,fold,sample_id,slide_id,label,pred_full,pred_concept_only,pred_visual_only,pred_full_without_visual,full_correct,concept_correct,visual_correct,full_without_visual_correct,full_margin,concept_margin,visual_margin,csg_margin,visual_contribution_ratio,concept_contribution_ratio,csg_contribution_ratio
concept_only_correct_full_wrong,0,2462598-B,2462598-B,0,1,0,1,0,False,True,False,True,-0.15649008750915527,1.3145188093185425,-1.4766829013824463,-0.03784504532814026,0.2103797197341919,0.7896202802658081,0.00012886723561678082
concept_only_correct_full_wrong,0,2471884-B2,2471884-B2,0,1,0,1,0,False,True,False,True,-1.5351831912994385,0.6085963249206543,-2.149453639984131,-0.010310668498277664,0.22147361934185028,0.7785263657569885,0.00047211116179823875
concept_only_correct_full_wrong,0,2477189-B3,2477189-B3,0,1,0,1,0,False,True,False,True,-2.022599220275879,0.6232161521911621,-2.651489734649658,-0.04814961180090904,0.2964738607406616,0.7035260796546936,0.00033980613807216287
concept_only_correct_full_wrong,0,2485275-B2,2485275-B2,0,1,0,1,0,False,True,False,True,-0.5133633613586426,1.025359869003296,-1.544396996498108,0.01593102514743805,0.20386509597301483,0.7961349487304688,0.000461544725112617
concept_only_correct_full_wrong,0,2487558-B2,2487558-B2,0,1,0,1,0,False,True,False,True,-0.09070038795471191,1.6174440383911133,-1.713818907737732,0.003244898747652769,0.24016013741493225,0.7598398327827454,0.00019785904441960156
visual_only_correct_concept_wrong,0,25015052B3,25015052B3,1,0,0,1,0,False,False,True,False,-0.20986700057983398,-1.2786517143249512,1.074458360671997,-0.020695097744464874,0.07922419905662537,0.920775830745697,0.005485169589519501
visual_only_correct_concept_wrong,0,25026144B2,25026144B2,1,1,0,1,0,True,False,True,False,2.6462762355804443,-0.43516862392425537,3.0871191024780273,0.05649649724364281,0.39696553349494934,0.6030344367027283,0.00017818772175814956
visual_only_correct_concept_wrong,0,25027723B4,25027723B4,1,0,0,1,0,False,False,True,False,-0.14500629901885986,-0.4472322463989258,0.3079000413417816,0.14635510742664337,0.18445852398872375,0.8155415058135986,0.0527215339243412
visual_only_correct_concept_wrong,0,25057865B1,25057865B1,1,1,0,1,0,True,False,True,False,0.527499794960022,-1.142958402633667,1.6761322021484375,0.07526105642318726,0.36130407452583313,0.6386958956718445,0.00048323895316570997
concept_only_wrong_full_correct,0,25026144B2,25026144B2,1,1,0,1,0,True,False,True,False,2.6462762355804443,-0.43516862392425537,3.0871191024780273,0.05649649724364281,0.39696553349494934,0.6030344367027283,0.00017818772175814956
concept_only_wrong_full_correct,0,25057865B1,25057865B1,1,1,0,1,0,True,False,True,False,0.527499794960022,-1.142958402633667,1.6761322021484375,0.07526105642318726,0.36130407452583313,0.6386958956718445,0.00048323895316570997
full_without_visual_correct_full_wrong,0,2462598-B,2462598-B,0,1,0,1,0,False,True,False,True,-0.15649008750915527,1.3145188093185425,-1.4766829013824463,-0.03784504532814026,0.2103797197341919,0.7896202802658081,0.00012886723561678082
full_without_visual_correct_full_wrong,0,2471884-B2,2471884-B2,0,1,0,1,0,False,True,False,True,-1.5351831912994385,0.6085963249206543,-2.149453639984131,-0.010310668498277664,0.22147361934185028,0.7785263657569885,0.00047211116179823875
full_without_visual_correct_full_wrong,0,2477189-B3,2477189-B3,0,1,0,1,0,False,True,False,True,-2.022599220275879,0.6232161521911621,-2.651489734649658,-0.04814961180090904,0.2964738607406616,0.7035260796546936,0.00033980613807216287
full_without_visual_correct_full_wrong,0,2485275-B2,2485275-B2,0,1,0,1,0,False,True,False,True,-0.5133633613586426,1.025359869003296,-1.544396996498108,0.01593102514743805,0.20386509597301483,0.7961349487304688,0.000461544725112617
full_without_visual_correct_full_wrong,0,2487558-B2,2487558-B2,0,1,0,1,0,False,True,False,True,-0.09070038795471191,1.6174440383911133,-1.713818907737732,0.003244898747652769,0.24016013741493225,0.7598398327827454,0.00019785904441960156
full_correct_full_without_visual_wrong,0,25026144B2,25026144B2,1,1,0,1,0,True,False,True,False,2.6462762355804443,-0.43516862392425537,3.0871191024780273,0.05649649724364281,0.39696553349494934,0.6030344367027283,0.00017818772175814956
full_correct_full_without_visual_wrong,0,25057865B1,25057865B1,1,1,0,1,0,True,False,True,False,0.527499794960022,-1.142958402633667,1.6761322021484375,0.07526105642318726,0.36130407452583313,0.6386958956718445,0.00048323895316570997
